Pergunta,Resposta,Palavras-chave,,,Sinonimos,Tabulação,,
Quais são as opções de cobertura do Seguro Celular Velotax?,"Coberturas Disponíveis: Existem 4 planos para o cliente escolher conforme o modelo do celular e o nível de proteção desejado: Plano 1 – Essencial • Roubo e furto qualificado • Danos acidentais (queda, líquido, quebra de tela) • Franquia: geralmente 25% do valor do aparelho Plano 2 – Completo • Tudo do Essencial + • Furto simples • Franquia: geralmente 20% do valor do aparelho Plano 3 – Premium • Tudo do Completo + • Perda/total do aparelho • Franquia: geralmente 15% do valor do aparelho Plano 4 – Premium Plus • Tudo do Premium + • Cobertura internacional (90 dias por viagem) • Garantia estendida (problemas técnicos após a garantia do fabricante) • Franquia: geralmente 10% do valor do aparelho O que é franquia? É a participação obrigatória do cliente no sinistro. Exemplo: celular de R$ 4.000 com franquia de 20% → cliente paga R$ 800 e o seguro cobre os R$ 3.200 restantes. Benefícios comuns a todos os planos: • Reposição por aparelho novo ou recondicionado (igual ou superior) em até 5 dias úteis • Possibilidade de parcelar a franquia em até 6x sem juros • Isenção total da franquia em caso de perda de renda (desemprego), acidente ou doença grave (mediante comprovação à Pitzi) • Participação automática no sorteio mensal de R$ 10 mil","seguro celular, cobertura, roubo, furto, perda, danos, franquia, plano essencial, completo, premium, internacional, garantia estendida","proteção celular, planos, furto qualificado, quebra de tela, perda total, cobertura mundial, garantia extra, coparticipação",Seguros > Seguro Celular > Coberturas,,Amarelo claro > Rosa > Branco,,
Pergunta,Resposta,Palavras-chave,Sinônimos,Tabulação,Formatação Desejada Como Escrever na Planilha Negrito Texto em negrito Itálico Texto em itálico Link Texto do Link Lista de Itens * Primeiro item\n* Segundo item Lista Numerada 1. Primeiro passo\n2. Segundo passo,Classificação,,
Como funciona o sorteio mensal do Seguro Celular Velotax?,"Sorteio: * Clientes com seguro ativo participam automaticamente. * Prêmio de R$10 mil no último sábado do mês. * Vencedor sai dos sorteios seguintes, mas mantém a cobertura.","sorteio, prêmio, participação","prêmio mensal, concurso, inclusão automática",Seguros > Seguro Celular > Sorteio,,Amarelo claro > Rosa > Branco,,
Pergunta,Resposta,Palavras-chave,Sinônimos,Tabulação,Formatação Desejada Como Escrever na Planilha Negrito Texto em negrito Itálico Texto em itálico Link Texto do Link Lista de Itens * Primeiro item\n* Segundo item Lista Numerada 1. Primeiro passo\n2. Segundo passo,Classificação,,
O que fazer em caso de sinistro no Seguro Celular Velotax?,"Sinistro: * Contate a Pitzi (seguradora parceira), não a Velotax. * Canais: Telefone 11 2579-0068 (seg-sex 9h-18h), WhatsApp 11 3777-0435 (seg-sex 9h-20h; sáb 9h-15h), Chat (seg-sex 9h-20h), Site pitzi.com.br. * Pitzi analisa e autoriza reposição ou reparo.","sinistro, Pitzi, contato, reposição","ocorrência, seguradora, canais de atendimento, substituição",Seguros > Seguro Celular > Sinistro,,Amarelo claro > Rosa > Branco,,
Pergunta,Resposta,Palavras-chave,Sinônimos,Tabulação,Formatação Desejada Como Escrever na Planilha Negrito Texto em negrito Itálico Texto em itálico Link Texto do Link Lista de Itens * Primeiro item\n* Segundo item Lista Numerada 1. Primeiro passo\n2. Segundo passo,Classificação,,
Há isenção de franquia no Seguro Celular Velotax?,"Isenção: * Isento em caso de perda de renda (desemprego), doença ou acidente grave (com comprovação à Pitzi). * Se aprovado, o seguro cobre 100% do custo. * Franquia pode ser parcelada em até 6x sem juros, se necessário.","isenção, franquia, perda de renda, desemprego, acidente, parcelamento","dispensa de coparticipação, desemprego involuntário, doença grave, pagamento fracionado",Seguros > Seguro Celular > Franquia,,Amarelo claro > Rosa > Branco,,
Pergunta,Resposta,Palavras-chave,Sinônimos,Tabulação,Formatação Desejada Como Escrever na Planilha Negrito Texto em negrito Itálico Texto em itálico Link Texto do Link Lista de Itens * Primeiro item\n* Segundo item Lista Numerada 1. Primeiro passo\n2. Segundo passo,Classificação,,
Qual o papel do atendimento Velotax no Seguro Celular?,"Atendimento: * Esclarecer funcionamento, coberturas e contratação. * Orientar para contatar Pitzi em sinistros. * Fornecer informações do produto e abrir chamados para reclamações. * Não analisa sinistros nem autoriza reposições (responsabilidade exclusiva da Pitzi).","atendimento, Velotax, Pitzi, suporte","suporte ao cliente, orientação, seguradora parceira, assistência",Seguros > Seguro Celular > Atendimento,,Amarelo claro > Rosa > Branco,,
Pergunta,Resposta,Palavras-chave,Sinônimos,Tabulação,Formatação Desejada Como Escrever na Planilha Negrito Texto em negrito Itálico Texto em itálico Link Texto do Link Lista de Itens * Primeiro item\n* Segundo item Lista Numerada 1. Primeiro passo\n2. Segundo passo,Classificação,,
Seguro Celular Velotax - Carência e início da cobertura,"Carência: * A proteção começa a valer somente após 30 dias da data de contratação. * Isso significa que o cliente fica protegido a partir do 31º dia após a adesão. * Durante o período de carência, o seguro ainda não cobre sinistros.","seguro celular, carência, início cobertura, 30 dias","proteção celular, período de espera, vigência, 31º dia",Seguros > Seguro Celular > Carência,,Amarelo claro > Rosa > Branco,,
Pergunta,Resposta,Palavras-chave,Sinônimos,Tabulação,Formatação Desejada Como Escrever na Planilha Negrito Texto em negrito Itálico Texto em itálico Link Texto do Link Lista de Itens * Primeiro item\n* Segundo item Lista Numerada 1. Primeiro passo\n2. Segundo passo,Classificação,,
Seguro Celular Velotax - Valor da proteção e franquia,"Valores: * O preço anual varia conforme o modelo do celular e o plano escolhido (Essencial, Completo, Premium ou Premium Plus). * A franquia (parte paga pelo cliente no sinistro) varia de 10% a 25% do valor do aparelho, dependendo do plano. * Exemplo: celular de R$ 5.000 com franquia de 15% → cliente paga R$ 750 e o seguro cobre os R$ 4.250 restantes. * Franquia pode ser parcelada em até 6x sem juros.","seguro celular, valor, franquia, preço anual, parcelamento","proteção celular, custo, coparticipação, mensalidade, pagamento fracionado",Seguros > Seguro Celular > Valores,,Amarelo claro > Rosa > Branco,,
Pergunta,Resposta,Palavras-chave,Sinônimos,Tabulação,Formatação Desejada Como Escrever na Planilha Negrito Texto em negrito Itálico Texto em itálico Link Texto do Link Lista de Itens * Primeiro item\n* Segundo item Lista Numerada 1. Primeiro passo\n2. Segundo passo,Classificação,,
Seguro Celular Velotax - Cobertura internacional,"Cobertura Internacional: * Disponível apenas no Plano Premium Plus. * Protege o celular em viagens ao exterior por até 90 dias por viagem. * Coberturas válidas: roubo, furto, perda e danos acidentais (conforme plano contratado). * Fora do Brasil, o processo de sinistro é o mesmo: contato direto com a Pitzi.","seguro celular, internacional, viagem, 90 dias, Premium Plus","proteção exterior, cobertura mundial, seguro em viagem, plano top",Seguros > Seguro Celular > Internacional,,Amarelo claro > Rosa > Branco,,
Pergunta,Resposta,Palavras-chave,Sinônimos,Tabulação,Formatação Desejada Como Escrever na Planilha Negrito Texto em negrito Itálico Texto em itálico Link Texto do Link Lista de Itens * Primeiro item\n* Segundo item Lista Numerada 1. Primeiro passo\n2. Segundo passo,Classificação,,
Seguro Celular Velotax - Garantia estendida,Garantia Estendida: * Inclusa apenas no Plano Premium Plus. * Cobre defeitos de fabricação ou problemas técnicos após o término da garantia original do fabricante. * Válida por mais 12 meses após o fim da garantia de fábrica. * Reparo ou reposição conforme análise da Pitzi.,"seguro celular, garantia estendida, defeito fábrica, Premium Plus","proteção técnica, garantia extra, problemas pós-fábrica, plano completo",Seguros > Seguro Celular > Garantia Estendida,,Amarelo claro > Rosa > Branco,,
Pergunta,Resposta,Palavras-chave,Sinônimos,Tabulação,Formatação Desejada Como Escrever na Planilha Negrito Texto em negrito Itálico Texto em itálico Link Texto do Link Lista de Itens * Primeiro item\n* Segundo item Lista Numerada 1. Primeiro passo\n2. Segundo passo,Classificação,,
Seguro Celular Velotax - Como cancelar ou desistir,Cancelamento: * Dentro de 7 dias da contratação: cancelamento com reembolso total (direito de arrependimento). * Após 7 dias: possível apenas em caso de motivo justificado ou na renovação anual. * Para solicitar: o cliente deve abrir chamado no app Velotax (aba Suporte) ou falar com o atendimento. * Reembolso proporcional ao período não utilizado (se aplicável).,"seguro celular, cancelamento, desistência, reembolso, 7 dias","proteção celular, rescisão, devolução, período de arrependimento",Seguros > Seguro Celular > Cancelamento,,Amarelo claro > Rosa > Branco,,
Pergunta,Resposta,Palavras-chave,Sinônimos,Tabulação,Formatação Desejada Como Escrever na Planilha Negrito Texto em negrito Itálico Texto em itálico Link Texto do Link Lista de Itens * Primeiro item\n* Segundo item Lista Numerada 1. Primeiro passo\n2. Segundo passo,Classificação,,
Seguro Celular Velotax - Aparelhos cobertos e limite de valor,"Aparelhos Cobertos: * Celulares de até R$ 12.000,00 (valor de tabela na data da contratação). * Marcas e modelos aceitos: praticamente todos os smartphones Android e iPhone vendidos oficialmente no Brasil. * Não cobre: tablets, smartwatches, acessórios, celulares paralelos ou com nota fiscal de pessoa física. * Limite máximo de indenização: valor do aparelho na data do sinistro (conforme tabela Pitzi).","seguro celular, aparelhos cobertos, limite valor, smartphones","proteção celular, modelos aceitos, teto de cobertura, celulares oficiais",Seguros > Seguro Celular > Aparelhos Cobertos,,Amarelo claro > Rosa > Branco,,
Pergunta,Resposta,Palavras-chave,Sinônimos,Tabulação,Formatação Desejada Como Escrever na Planilha Negrito Texto em negrito Itálico Texto em itálico Link Texto do Link Lista de Itens * Primeiro item\n* Segundo item Lista Numerada 1. Primeiro passo\n2. Segundo passo,Classificação,,
Seguro Celular Velotax - Renovação automática,"Renovação: * O seguro é anual e renova automaticamente na data de vencimento. * O cliente recebe aviso por e-mail e no app cerca de 30 dias antes. * Cobrança automática no mesmo meio de pagamento utilizado na contratação. * Caso queira cancelar a renovação, deve solicitar com até 15 dias de antecedência à data de vencimento.","seguro celular, renovação, automática, vencimento, cancelamento","proteção celular, prorrogação, renovação automática, aniversário, rescisão",Seguros > Seguro Celular > Renovação,,Amarelo claro > Rosa > Branco,,
Pergunta,Resposta,Palavras-chave,Sinônimos,Tabulação,Formatação Desejada Como Escrever na Planilha Negrito Texto em negrito Itálico Texto em itálico Link Texto do Link Lista de Itens * Primeiro item\n* Segundo item Lista Numerada 1. Primeiro passo\n2. Segundo passo,Classificação,,
Seguro Celular Velotax - Quantas vezes posso acionar o seguro?,"Limite de Uso: * Até 2 sinistros por ano de vigência do seguro. * Após o 2º sinistro, a apólice é cancelada automaticamente. * Novo seguro pode ser contratado imediatamente após o cancelamento (sujeito a nova análise e pagamento). * Cada sinistro tem franquia conforme o plano contratado.","seguro celular, sinistro, limite, acionamento, cancelamento","proteção celular, ocorrência, teto de uso, utilização, rescisão automática",Seguros > Seguro Celular > Limite de Sinistros,,Amarelo claro > Rosa > Branco,,
Pergunta,Resposta,Palavras-chave,Sinônimos,Tabulação,Formatação Desejada Como Escrever na Planilha Negrito Texto em negrito Itálico Texto em itálico Link Texto do Link Lista de Itens * Primeiro item\n* Segundo item Lista Numerada 1. Primeiro passo\n2. Segundo passo,Classificação,,
Seguro Celular Velotax - O que não é coberto?,"Exclusões: * Não cobre: perda ou roubo por descuido (ex.: esquecer em local público), uso indevido, desgaste natural, estética (arranhões sem impacto funcional), modificações no aparelho, sinistros durante prática de esportes radicais, guerras ou catástrofes naturais. * Também não cobre acessórios (capinha, fone, carregador) nem dados/senhas armazenados. * Celulares com jailbreak/root ou comprados no exterior (sem nota fiscal brasileira) são recusados.","seguro celular, exclusões, não coberto, limitações","proteção celular, exceções, restrições de cobertura, riscos excluídos",Seguros > Seguro Celular > Exclusões,,Amarelo claro > Rosa > Branco,,
